aframe-capture session 20260702-080734
target: /dev/cu.usbserial-0001
output: captures/20260702-080734

== GetVersion
  VER.2.00-BLD.001 2019/02/28 17:58:50
== Enter external edit mode
== Probe instrument parameters (algo 0)
=== INST algo=0 prm_num=79 tone=SnappyFramey
  F 14 =     70 | ?Bf:SequentialPh | Ambience Lev: 70
  F 15 =      1 | ?Bf:SequentialPh | Comp Sw:ON?     
  F 16 =   -120 | ?Bf:SequentialPh | CompThrs:-12.0dB
  F 17 =     10 | ?Bf:SequentialPh | CompRatio:  2:1?
  F 18 =      1 | ?Bf:SequentialPh | CompKnee:SOFT1? 
  F 19 =      0 | ?Bf:SequentialPh | CompAtck:  0.0ms
  F 20 =    300 | ?Bf:SequentialPh | CompRele:  300ms
  F 21 =      0 | ?Bf:SequentialPh | CompGain: +0.0dB
=== FX6 algo=6 prm_num=20 tone=GummyWh/Wah
  F  0 =      0 | ?Bf:GummyWh/Wah  | Type:CRYBABY?   
  F  1 =     80 | ?Bf:GummyWh/Wah  | Manual Freq: 80?
  F  2 =    250 | ?Bf:GummyWh/Wah  | Freq Min: 250Hz?
  F  3 =   3150 | ?Bf:GummyWh/Wah  | Freq Max:3150Hz?
  F  4 =    200 | ?Bf:GummyWh/Wah  | Filter Q:20.0?  
  F  5 =      1 | ?Bf:GummyWh/Wah  | PressSw:ON?     
  F  6 =     70 | ?Bf:GummyWh/Wah  | PressSens: 70?  
  F  7 =     40 | ?Bf:GummyWh/Wah  | PressAtck:  40ms
  F  8 =     80 | ?Bf:GummyWh/Wah  | PressRele:  80ms
  F  9 =      1 | ?Bf:GummyWh/Wah  | Wah Sw:ON?      
  F 10 =      1 | ?Bf:GummyWh/Wah  | FxMtrx:MasterIns
  F 11 =      0 | ?Bf:GummyWh/Wah  | AmbienceType:OFF
  F 12 =     70 | ?Bf:GummyWh/Wah  | Ambience Lev: 70
  F 13 =      0 | ?Bf:GummyWh/Wah  | Comp Sw:OFF?    
  F 14 =   -120 | ?Bf:GummyWh/Wah  | CompThrs:-12.0dB
  F 15 =     10 | ?Bf:GummyWh/Wah  | CompRatio:  2:1?
  F 16 =      1 | ?Bf:GummyWh/Wah  | CompKnee:SOFT1? 
  F 17 =      0 | ?Bf:GummyWh/Wah  | CompAtck:  0.0ms
  F 18 =    300 | ?Bf:GummyWh/Wah  | CompRele:  300ms
  F 19 =      0 | ?Bf:GummyWh/Wah  | CompGain: +0.0dB
=== FX7 algo=7 prm_num=51 tone=AquaFrstTDLY
  F  0 =   2000 | ?Bf:AquaFrstTDLY | Time 1 : 200.0ms
  F  1 =   2600 | ?Bf:AquaFrstTDLY | Time 2 : 260.0ms
  F  2 =   3200 | ?Bf:AquaFrstTDLY | Time 3 : 320.0ms
  F  3 =   4500 | ?Bf:AquaFrstTDLY | Time 4 : 450.0ms
  F  4 =   5700 | ?Bf:AquaFrstTDLY | Time 5 : 570.0ms
  F  5 =   6500 | ?Bf:AquaFrstTDLY | Time 6 : 650.0ms
  F  6 =   7600 | ?Bf:AquaFrstTDLY | Time 7 : 760.0ms
  F  7 =   8900 | ?Bf:AquaFrstTDLY | Time 8 : 890.0ms
  F  8 =   9900 | ?Bf:AquaFrstTDLY | Time 9 : 990.0ms
  F  9 =  11000 | ?Bf:AquaFrstTDLY | Time 10:1100.0ms
  F 10 =   5000 | ?Bf:AquaFrstTDLY | Time FB: 500.0ms
  F 11 =     48 | ?Bf:AquaFrstTDLY | Lev 1 : 48?     
  F 12 =     60 | ?Bf:AquaFrstTDLY | Lev 2 : 60?     
  F 13 =     54 | ?Bf:AquaFrstTDLY | Lev 3 : 54?     
  F 14 =     51 | ?Bf:AquaFrstTDLY | Lev 4 : 51?     
  F 15 =     45 | ?Bf:AquaFrstTDLY | Lev 5 : 45?     
  F 16 =     46 | ?Bf:AquaFrstTDLY | Lev 6 : 46?     
  F 17 =     41 | ?Bf:AquaFrstTDLY | Lev 7 : 41?     
  F 18 =     40 | ?Bf:AquaFrstTDLY | Lev 8 : 40?     
  F 19 =     30 | ?Bf:AquaFrstTDLY | Lev 9 : 30?     
  F 20 =     30 | ?Bf:AquaFrstTDLY | Lev 10: 30?     
  F 21 =     49 | ?Bf:AquaFrstTDLY | Pan 1 :L15?     
  F 22 =     79 | ?Bf:AquaFrstTDLY | Pan 2 :R15?     
  F 23 =     36 | ?Bf:AquaFrstTDLY | Pan 3 :L28?     
  F 24 =     92 | ?Bf:AquaFrstTDLY | Pan 4 :R28?     
  F 25 =     24 | ?Bf:AquaFrstTDLY | Pan 5 :L40?     
  F 26 =    104 | ?Bf:AquaFrstTDLY | Pan 6 :R40?     
  F 27 =     14 | ?Bf:AquaFrstTDLY | Pan 7 :L50?     
  F 28 =    114 | ?Bf:AquaFrstTDLY | Pan 8 :R50?     
  F 29 =      1 | ?Bf:AquaFrstTDLY | Pan 9 :L63?     
  F 30 =    127 | ?Bf:AquaFrstTDLY | Pan 10:R63?     
  F 31 =     65 | ?Bf:AquaFrstTDLY | Feedback: 65?   
  F 32 =     60 | ?Bf:AquaFrstTDLY | HF Damp:0.60?   
  F 33 =    100 | ?Bf:AquaFrstTDLY | Pan Spread:100? 
  F 34 =    100 | ?Bf:AquaFrstTDLY | Wet Level:100?  
  F 35 =     85 | ?Bf:AquaFrstTDLY | Dry Level: 85?  
